start_date,end_date,progress,duration_in_seconds,finished,recorded_date,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,idealism_blm_good,idealism_blm_cooperate,idealism_blm_welcome_me,idealism_blm_better_country,idealism_btb_good,idealism_btb_cooperate,idealism_btb_welcome_me,idealism_btb_better_country,effectiveness_of_blm_pre,effectiveness_of_btb_pre,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,q_508_first_click,q_508_last_click,q_508_page_submit,q_508_click_count,q_502_first_click,q_502_last_click,q_502_page_submit,q_502_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,bored,effectiveness_of_blm_post,effectiveness_of_btb_post,police_funding,blm_support,btb_support,blm_reputation,btb_reputation,scope_climate_change,scope_immigration,scope_covid,scope_healthcare,scope_poverty,scope_other,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,sdo_r_group_welfare,sdo_against_group_equality,sdo_r_for_group_equality,sdo_group_domination,vote_influence_blm_support,vote_influence_btb_support,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race,race_2,age,political_party,political_party_5_text,community_racial_com,gender,gender_4_text,catch_sky_color,household_income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,catch_distractions,catch_video_stream,catch_honesty,random_id,condition,vid_time,idealism_community,idealism_police,idealism_blm,idealism_btb,idealism_all,positive_affect,elevation,somatic,prosocial_motives,folk_affect,conservativism_social,conservativism_military,conservativism_economic,conservativism_overall,sdo_composite,parties,major_parties,ethnicity_factor,ethnicity_binary,education_factor,education_bins,gender_factor,gender_two_factor
2020-12-18T15:09:24Z,2020-12-18T15:15:30Z,100,365,1,2020-12-18T15:15:30Z,7,5,6,5,5,5,2,5,6,5,6,5,7,6,7,7,5,4,4,4,2,1,0,0,99.598,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,3,1,-51,1,1,1,1,4,4,5,5,5,5,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,6,4,6,2,7,7,1,1,1,1,1,7,NA,23,3,NA,4,2,NA,3,7,3,3,1,1,3,1,1,232501,BLM,99.598,4.5,5.5,6.75,4.25,5.2,0.5,0.4666666666666667,0,0.75,0.5714285714285714,-1,-0.3333333333333333,0.14285714285714285,-0.4482758620689655,4,Green,NA,7,white,3,some_college,male,male
2020-12-18T15:10:46Z,2020-12-18T15:16:33Z,100,346,1,2020-12-18T15:16:33Z,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,94.552,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,1,2,2,2,2,2,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,2,2,3,3,3,4,1,2,NA,30,0,NA,1,1,NA,3,11,5,2,2,2,3,1,1,526061,control,94.552,4,4,3,3,3.6,0,0.2,0,0,0.42857142857142855,0,-0.16666666666666666,0,-0.06896551724137931,5.5,Independent,Independent,2,non-white,5,bachelors,female,female
2020-12-18T15:09:06Z,2020-12-18T15:16:37Z,100,450,1,2020-12-18T15:16:37Z,4,4,4,4,4,4,6,3,3,3,3,2,6,6,6,6,4,4,3,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,96.006,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,1,0,1,0,5,3,0,5,1,100,-51,5,5,4,4,3,3,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,10,1,1,1,5,1,1,2,2,2,5,7,NA,30,2,NA,2,2,NA,3,6,5,4,3,1,3,1,1,907019,control,96.006,4,2.6666666666666665,6,3.5,3.9,3,1.4,0,0,3,-0.2,0.08333333333333333,-0.42857142857142855,-0.13793103448275862,3.25,Democrat,Democrat,7,white,5,bachelors,male,male
2020-12-18T15:10:08Z,2020-12-18T15:16:44Z,100,395,1,2020-12-18T15:16:44Z,1,7,7,7,7,7,1,7,7,7,7,7,5,5,5,5,7,7,7,7,2,2,NA,NA,NA,NA,0,0,99.693,0,NA,NA,NA,NA,1,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,2,1,1,3,-15,1,1,2,1,1,3,2,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,3,8,3,6,1,1,3,1,1,1,1,7,NA,30,1,NA,4,1,NA,3,8,4,1,1,1,3,1,1,930374,BtB,99.693,7,7,5,7,6.6,0.5,0.9333333333333333,0,1.75,1,-0.2,-0.16666666666666666,1,0.10344827586206896,7.5,Republican,Republican,7,white,4,associates,female,female
2020-12-18T15:10:17Z,2020-12-18T15:16:49Z,100,391,1,2020-12-18T15:16:49Z,3,5,5,5,5,5,5,2,2,2,2,2,4,3,4,4,4,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,42.355,42.355,95.024,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,-25,2,1,0,0,1,1,1,1,3,3,-1,1,1,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,0,1,-1,1,1,1,1,0,-1,-1,1,10,1,10,1,7,7,4,2,1,1,1,27,NA,38,2,NA,4,2,NA,3,7,5,2,5,1,3,1,1,345383,control,95.024,5,2.1666666666666665,3.75,1.75,3.25,0.5,0.2,0,0.5,0.14285714285714285,-0.6,-0.75,0.14285714285714285,-0.4827586206896552,1,Democrat,Democrat,27,non-white,5,bachelors,male,male
2020-12-18T15:09:00Z,2020-12-18T15:17:03Z,100,483,1,2020-12-18T15:17:04Z,2,6,6,6,6,6,2,6,6,6,6,6,3,2,2,2,4,4,3,4,2,2,0,0,98.711,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,0,0,0,0,1,2,2,2,2,2,2,2,1,1,1,0,0,0,0,1,2,2,25,2,3,-29,19,1,1,2,1,2,2,-1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,8,8,8,2,2,2,4,4,4,4,2,7,NA,41,2,NA,4,2,NA,3,7,5,1,2,3,3,1,1,778422,BLM,98.711,6,6,2.25,3.75,4.8,1.25,1.3333333333333333,0,1.75,1.8571428571428572,-0.4,-0.16666666666666666,-0.42857142857142855,-0.3103448275862069,4,Democrat,Democrat,7,white,5,bachelors,male,male
2020-12-18T15:09:57Z,2020-12-18T15:17:06Z,100,429,1,2020-12-18T15:17:07Z,1,7,7,7,7,7,1,6,6,6,6,6,7,7,7,7,6,6,6,6,4,4,NA,NA,NA,NA,0,0,101.33,0,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,2,1,2,0,0,4,4,1,3,3,1,28,1,5,1,1,5,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,10,10,10,1,3,3,5,5,5,5,1,2,NA,42,1,NA,2,1,NA,3,8,5,1,3,1,3,1,1,360954,BtB,101.33,7,6.166666666666667,7,6,6.55,0,3,3,3,3,0.5,-0.4166666666666667,-0.7142857142857143,-0.1724137931034483,3.25,Republican,Republican,2,non-white,5,bachelors,female,female
2020-12-18T15:10:55Z,2020-12-18T15:17:09Z,100,374,1,2020-12-18T15:17:09Z,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,3,1,NA,NA,NA,NA,0,0,98.769,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,1,3,1,-35,3,1,7,-1,1,1,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,-1,-1,-1,0,-1,0,0,1,1,1,0,1,1,1,1,0,-1,0,0,10,1,10,1,3,1,1,1,1,1,2,7,NA,25,2,NA,5,1,NA,3,7,5,2,2,2,3,1,1,332499,BtB,98.769,5,5,5,4.75,4.95,2,0,0,0,0,-0.7,-0.25,-0.42857142857142855,-0.4482758620689655,1,Democrat,Democrat,7,white,5,bachelors,female,female
2020-12-18T15:08:52Z,2020-12-18T15:17:12Z,100,499,1,2020-12-18T15:17:12Z,1,7,7,7,7,7,1,7,7,7,7,7,7,5,3,7,6,4,6,3,2,1,NA,NA,NA,NA,0,0,101.27,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,3,1,-15,4,1,26,-25,1,2,4,4,4,4,-1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,9,1,9,4,1,1,3,3,2,3,4,7,NA,20,0,NA,4,1,NA,3,1,3,1,3,1,3,1,1,766181,BtB,101.27,7,7,5.5,4.75,6.25,1,0,0,0,0,-0.4,-0.6666666666666666,-0.14285714285714285,-0.4482758620689655,2.25,Independent,Independent,7,white,3,some_college,female,female
2020-12-18T15:09:45Z,2020-12-18T15:17:28Z,100,463,1,2020-12-18T15:17:29Z,1,6,6,5,6,6,1,6,7,5,6,6,4,5,5,4,6,5,7,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,97.433,97.433,98.054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,2,4,-12,0,1,2,2,2,2,3,-1,-1,1,-1,1,-1,0,-1,1,0,-1,-1,0,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,1,10,2,7,1,1,2,3,3,2,2,1,7,NA,43,5,Constitution Party,1,2,NA,3,2,2,1,1,1,3,1,1,132662,control,98.054,6,6.166666666666667,4.5,6,5.75,0,0,0,0,0,0.7,0.16666666666666666,0.8571428571428571,0.5172413793103449,2,Other,NA,7,white,2,hs_less,male,male
