start_date,end_date,progress,duration_in_seconds,finished,recorded_date,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_elites_dishonest_r,idealism_elites_considerate,idealism_elites_good,idealism_elites_positive,idealism_elites_right,idealism_elites_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,q_502_first_click,q_502_last_click,q_502_page_submit,q_502_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,effectiveness_of_blm_post,blm_support_cause,blm_support_protests,police_funding,tactic_looting,tactic_burn_stations,tactic_loud_chants,tactic_block_traffic,tactic_gathering,tactic_kneeling,tactic_singing,tactic_silence,scope_climate_change,scope_immigration,scope_covid,scope_healthcare,scope_poverty,scope_other,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race,race_2,age,political_party,political_party_5_text,community_racial_com,gender,gender_4_text,catch_sky_color,household_income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,direct_connection_el,catch_distractions,catch_video_stream,catch_honesty,random_id,condition,vid_time
2020-07-23T10:25:25Z,2020-07-23T10:30:07Z,100,281,1,2020-07-23T10:30:07Z,5,5,4,4,4,4,5,5,6,5,6,6,3,3,4,4,3,3,1.639,2.143,98.633,2,NA,NA,NA,NA,2,2,2,2,0,-1,-1,-1,-1,-1,0,-1,0,0,0,1,1,1,1,1,1,1,2,3,5,5,-58,1,2,6,2,6,6,6,6,5,5,3,4,5,3,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,3,2,1,1,3,7,NA,25,2,NA,2,2,NA,3,3,5,2,3,2,2,3,1,1,880129,BLM,98.633
2020-07-23T10:25:12Z,2020-07-23T10:30:18Z,100,305,1,2020-07-23T10:30:18Z,1,7,7,7,7,7,1,7,7,7,7,7,1,7,7,7,7,7,26.587,26.587,101.574,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,2,1,1,27,1,1,6,1,1,6,6,6,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,0,-1,0,-1,1,-1,1,1,1,1,1,0,1,0,1,1,3,1,2,1,3,7,NA,46,1,NA,1,2,NA,3,6,5,1,1,2,2,3,1,1,484851,BLM,101.574
2020-07-23T10:26:59Z,2020-07-23T10:30:24Z,100,205,1,2020-07-23T10:30:24Z,6,5,5,6,5,6,6,5,6,5,6,6,6,6,5,5,5,6,2.527,4.639,5.344,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,77,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,7,NA,47,2,NA,1,1,NA,6,5,7,4,3,4,3,1,1,1,848812,BLM,5.344
2020-07-23T10:25:10Z,2020-07-23T10:30:47Z,100,336,1,2020-07-23T10:30:47Z,7,7,7,7,7,7,5,5,5,5,5,5,4,4,4,4,4,4,1.403,6.822,101.512,3,NA,NA,NA,NA,2,2,2,2,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,2,2,5,5,-75,1,1,6,1,6,6,6,6,1,2,1,1,5,5,-1,1,-1,1,-1,-1,1,1,1,0,0,-1,-1,0,-1,1,1,1,0,-1,-1,1,1,1,1,0,-1,1,-1,2,4,2,3,1,7,NA,27,2,NA,4,2,NA,3,2,3,2,2,1,1,3,1,1,757569,BLM,101.512
2020-07-23T10:27:14Z,2020-07-23T10:31:25Z,100,251,1,2020-07-23T10:31:25Z,4,5,4,3,4,3,3,4,4,3,4,2,4,4,3,3,4,3,NA,NA,NA,NA,4.38,4.38,43.235,1,0,0,-1,-1,1,-1,-1,0,-1,0,0,0,-1,0,0,1,-1,0,0,-1,-1,1,-1,3,2,3,21,2,1,1,1,2,2,2,2,2,1,2,1,2,2,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,3,3,4,4,4,7,NA,27,2,NA,4,2,NA,3,5,3,3,2,3,4,3,1,1,546809,control,43.235
2020-07-23T10:27:38Z,2020-07-23T10:31:27Z,100,228,1,2020-07-23T10:31:27Z,1,7,7,7,7,7,7,7,7,7,7,7,1,6,6,7,7,7,NA,NA,NA,NA,2.653,2.653,17.715,1,0,1,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,3,5,2,0,1,1,4,1,4,6,6,6,2,3,1,1,4,3,1,1,1,-1,0,-1,1,0,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,0,-1,1,1,1,1,1,3,2,3,2,4,7,NA,32,0,NA,2,2,NA,3,7,5,4,4,4,5,3,1,1,300519,control,17.715
2020-07-23T10:26:09Z,2020-07-23T10:31:32Z,100,322,1,2020-07-23T10:31:32Z,1,4,4,4,4,4,7,3,3,3,3,3,1,7,7,7,7,7,NA,NA,NA,NA,1.616,28.141,100.131,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,0,1,1,6,2,6,6,6,6,3,2,5,4,3,3,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,2,1,1,1,1,7,NA,33,2,NA,2,2,NA,3,11,2,3,3,1,1,3,1,1,314101,control,100.131
2020-07-23T10:25:50Z,2020-07-23T10:31:36Z,100,345,1,2020-07-23T10:31:36Z,3,4,4,4,3,3,4,2,2,3,3,2,2,4,4,3,4,3,NA,NA,NA,NA,0,0,103.468,0,1,-1,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,1,1,2,2,3,1,1,1,6,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,0,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,5,5,5,4,1,7,NA,34,2,NA,4,1,NA,3,7,5,1,1,1,1,3,1,1,105854,control,103.468
2020-07-23T10:25:23Z,2020-07-23T10:31:37Z,100,373,1,2020-07-23T10:31:37Z,6,6,6,5,5,7,6,5,7,6,6,5,7,5,6,5,5,6,0,0,97.303,0,NA,NA,NA,NA,0,2,2,0,0,-1,0,-1,0,-1,2,0,0,2,0,0,-1,0,2,0,-1,2,0,4,5,4,58,6,4,4,4,6,3,3,4,4,5,5,4,3,3,-1,1,1,0,1,-1,1,1,1,0,1,1,-1,1,-1,1,0,1,1,1,0,-1,-1,0,-1,-1,1,-1,1,3,4,4,3,2,7,NA,25,1,NA,2,2,NA,3,6,5,4,3,4,5,1,1,1,628531,BLM,97.303
2020-07-23T10:26:52Z,2020-07-23T10:31:40Z,100,288,1,2020-07-23T10:31:40Z,3,4,2,2,2,2,3,3,5,2,2,3,6,3,3,2,2,3,NA,NA,NA,NA,0,0,101.593,0,0,-1,-1,-1,0,2,2,2,-1,2,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,4,3,2,6,2,2,3,2,2,2,3,2,5,3,2,2,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,2,3,3,2,2,7,NA,47,2,NA,1,1,NA,3,5,8,4,3,4,3,3,1,1,621903,control,101.593
