start_date,end_date,progress,duration_in_seconds,finished,recorded_date,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,idealism_blm_good,idealism_blm_cooperate,idealism_blm_welcome_me,idealism_blm_better_country,idealism_btb_good,idealism_btb_cooperate,idealism_btb_welcome_me,idealism_btb_better_country,effectiveness_of_blm_pre,effectiveness_of_btb_pre,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,q_508_first_click,q_508_last_click,q_508_page_submit,q_508_click_count,q_502_first_click,q_502_last_click,q_502_page_submit,q_502_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,bored,effectiveness_of_blm_post,effectiveness_of_btb_post,police_funding,blm_support,btb_support,blm_reputation,btb_reputation,scope_climate_change,scope_immigration,scope_covid,scope_healthcare,scope_poverty,scope_other,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,sdo_r_group_welfare,sdo_against_group_equality,sdo_r_for_group_equality,sdo_group_domination,vote_influence_blm_support,vote_influence_btb_support,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race,race_2,age,political_party,political_party_5_text,community_racial_com,gender,gender_4_text,catch_sky_color,household_income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,catch_distractions,catch_video_stream,catch_honesty,random_id,condition,vid_time
2020-12-16T21:16:05Z,2020-12-16T21:17:02Z,10,57,0,2020-12-17T21:17:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751891,ERROR,NA
2020-12-18T15:09:02Z,2020-12-18T15:12:10Z,100,187,1,2020-12-18T15:12:10Z,3,6,7,7,7,1,7,7,7,7,7,7,7,7,6,7,7,7,5,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2.405,2.405,13.978,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,2,2,2,2,0,2,0,0,2,3,5,27,3,1,-43,59,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,8,9,9,9,4,4,2,2,2,2,2,3,NA,33,2,NA,3,1,NA,3,9,5,3,4,5,1,1,1,735209,control,13.978
2020-12-18T15:09:49Z,2020-12-18T15:15:20Z,100,330,1,2020-12-18T15:15:20Z,6,7,6,6,7,6,1,6,7,6,6,7,7,6,6,7,6,7,7,6,4,4,0,0,53.773,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,2,0,2,0,2,0,0,0,0,0,1,1,1,1,4,4,14,3,2,12,11,5,1,1,1,5,1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,10,10,10,10,5,2,1,1,1,1,1,7,NA,35,0,NA,4,1,NA,3,1,4,4,4,4,3,1,1,423862,BLM,53.773
2020-12-18T15:09:11Z,2020-12-18T15:15:24Z,100,372,1,2020-12-18T15:15:24Z,1,7,7,7,7,7,1,7,7,7,7,7,1,1,1,1,7,7,7,7,1,4,NA,NA,NA,NA,NA,NA,NA,NA,4.008,6.247,9.735,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,1,1,2,1,1,1,3,70,1,4,-76,51,1,2,1,1,1,1,1,-1,0,-1,1,1,0,1,-1,1,1,1,0,0,1,0,-1,0,-1,1,0,1,-1,1,1,1,1,1,-1,7,9,2,7,1,5,2,2,2,2,3,7,NA,48,1,NA,4,2,NA,3,11,7,1,2,4,3,2,1,207169,control,9.735
2020-12-18T15:09:24Z,2020-12-18T15:15:30Z,100,365,1,2020-12-18T15:15:30Z,7,5,6,5,5,5,2,5,6,5,6,5,7,6,7,7,5,4,4,4,2,1,0,0,99.598,0,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,3,1,-51,1,1,1,1,4,4,5,5,5,5,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,6,4,6,2,7,7,1,1,1,1,1,7,NA,23,3,NA,4,2,NA,3,7,3,3,1,1,3,1,1,232501,BLM,99.598
2020-12-18T15:10:46Z,2020-12-18T15:16:33Z,100,346,1,2020-12-18T15:16:33Z,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,94.552,0,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,2,2,1,2,2,1,1,2,2,2,2,2,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,2,2,3,3,3,4,1,2,NA,30,0,NA,1,1,NA,3,11,5,2,2,2,3,1,1,526061,control,94.552
2020-12-18T15:09:06Z,2020-12-18T15:16:37Z,100,450,1,2020-12-18T15:16:37Z,4,4,4,4,4,4,6,3,3,3,3,2,6,6,6,6,4,4,3,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,96.006,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,-1,1,-1,1,5,3,0,5,1,100,-51,5,5,4,4,3,3,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,10,1,1,1,5,1,1,2,2,2,5,7,NA,30,2,NA,2,2,NA,3,6,5,4,3,1,3,1,1,907019,control,96.006
2020-12-18T15:09:58Z,2020-12-18T15:16:43Z,100,404,1,2020-12-18T15:16:44Z,1,6,6,6,6,6,1,6,6,6,6,6,6,4,6,4,6,6,6,4,3,3,NA,NA,NA,NA,0,0,44.528,0,NA,NA,NA,NA,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,3,0,3,3,26,-25,3,2,2,3,4,2,-1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,0,0,0,10,1,10,1,2,1,1,2,1,1,2,7,NA,57,2,NA,1,2,NA,3,9,8,3,5,3,3,1,1,756809,BtB,44.528
2020-12-18T15:10:08Z,2020-12-18T15:16:44Z,100,395,1,2020-12-18T15:16:44Z,1,7,7,7,7,7,1,7,7,7,7,7,5,5,5,5,7,7,7,7,2,2,NA,NA,NA,NA,0,0,99.693,0,NA,NA,NA,NA,-1,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,2,2,1,1,3,-15,1,1,2,1,1,3,2,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,3,8,3,6,1,1,3,1,1,1,1,7,NA,30,1,NA,4,1,NA,3,8,4,1,1,1,3,1,1,930374,BtB,99.693
2020-12-18T15:10:17Z,2020-12-18T15:16:49Z,100,391,1,2020-12-18T15:16:49Z,3,5,5,5,5,5,5,2,2,2,2,2,4,3,4,4,4,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,42.355,42.355,95.024,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,2,1,-25,2,1,0,0,1,1,1,1,3,3,-1,1,1,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,0,1,-1,1,1,1,1,0,-1,-1,1,10,1,10,1,7,7,4,2,1,1,1,27,NA,38,2,NA,4,2,NA,3,7,5,2,5,1,3,1,1,345383,control,95.024
